titulo;tipo_paper;doi
;Journalarticle;
;Journalarticle;10.15446/rcdg.v27n1.59904
;Journalarticle;
;Journalarticle;10.1177/0739456X18804328
;Journalarticle;10.4206/aus.2018.n23-06
;Journalarticle;10.1017/dmp.2017.57
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1016/j.proeng.2018.01.148
;Journalarticle;10.1016/j.proeng.2018.01.078
;Journalarticle;10.1016/j.proeng.2018.01.083
;Journalarticle;10.1016/j.proeng.2018.01.058
;Journalarticle;10.1016/j.proeng.2018.01.166
;Book;10.1016/j.proeng.2018.01.040
;Journalarticle;10.1016/j.proeng.2018.01.151
;Journalarticle;10.1093/inthealth/ihx064
;Journalarticle;
;Journalarticle;10.1007/s11069-017-3056-3
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Booksection;10.1080/17477891.2017.1340869
;Journalarticle;
;Conferencepaper;10.1193/113016EQS217M
;Journalarticle;
;Conferencepaper;
;Journalarticle;
;Journalarticle;10.1063/1.5011630
;Journalarticle;
;Journalarticle;10.3390/su9112015
;Journalarticle;10.1193/092515EQS142M
;Booksection;10.3828/tpr.2017.38
;Journalarticle;
;Book;10.1177/0956247817721403
;Journalarticle;10.1111/disa.12219
;Journalarticle;10.1080/01446193.2016.1247973
;Journalarticle;10.1016/j.ijdrr.2017.06.019
;Book;10.1016/j.ijdrr.2017.06.007
;Journalarticle;10.1371/journal.pone.0183631
;Conferencepaper;10.1016/j.techfore.2016.09.018
;Journalarticle;10.1177/0094582X16658265
;Booksection;10.1016/j.ijproman.2016.07.007
;Journalarticle;10.3390/ijerph14060590
;Conferencepaper;10.1016/j.worlddev.2016.12.039
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.1088/1755-1315/56/1/012019
;Journalarticle;10.1061/(ASCE)UP.1943-5444.0000354
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;
;Journalarticle;10.3917/med.180.0105
;Journalarticle;
;Booksection;
